iter	RMSE
0	7.736588608
1	7.674647061
2	7.602892483
3	7.530048138
4	7.468051608
5	7.414032931
6	7.350849658
7	7.29871444
8	7.249443399
9	7.213393093
10	7.168890251
11	7.135565258
12	7.093751423
13	7.037689769
14	7.014488469
15	6.984295097
16	6.958347711
17	6.936166406
18	6.900370082
19	6.869212671
20	6.843183223
21	6.800642308
22	6.785551567
23	6.766966829
24	6.744658205
25	6.72116914
26	6.697966828
27	6.671308415
28	6.658906961
29	6.639410794
30	6.601417179
31	6.580864361
32	6.559133138
33	6.541835647
34	6.528274868
35	6.510572171
36	6.49247283
37	6.472500293
38	6.460115568
39	6.440630073
40	6.429896084
41	6.409922881
42	6.395003383
43	6.388983791
44	6.374199335
45	6.363902592
46	6.354924169
47	6.339324937
48	6.307542573
49	6.289127404
50	6.273988819
51	6.260969865
52	6.250655239
53	6.242528908
54	6.2239047
55	6.208278713
56	6.194615937
57	6.185884733
58	6.17479239
59	6.15974633
60	6.13466401
61	6.122028387
62	6.111749342
63	6.099633841
64	6.094646483
65	6.079275322
66	6.063081595
67	6.051221189
68	6.035993885
69	6.009105569
70	6.006289403
71	5.999312022
72	5.991428408
73	5.984765259
74	5.960700219
75	5.955746178
76	5.950137268
77	5.934498651
78	5.924436126
79	5.913406478
80	5.910087035
81	5.899106006
82	5.893182707
83	5.867149654
84	5.855287835
85	5.845556131
86	5.835158393
87	5.82194562
88	5.799576631
89	5.786767201
90	5.774991535
91	5.769584235
92	5.756095003
93	5.734550891
94	5.726975915
95	5.719463587
96	5.708561485
97	5.70132144
98	5.693062385
99	5.675629946
100	5.664123497
101	5.65635019
102	5.646990218
103	5.639546403
104	5.630677811
105	5.62176531
106	5.617742933
107	5.610645231
108	5.599514822
109	5.599074473
110	5.593179435
111	5.577176683
112	5.566508573
113	5.559971075
114	5.542305516
115	5.538804914
116	5.532829711
117	5.517109382
118	5.505800305
119	5.497827538
120	5.491055603
121	5.471443773
122	5.458786814
123	5.45107459
124	5.443100355
125	5.435607734
126	5.422109785
127	5.416408994
128	5.410174277
129	5.39352018
130	5.391518046
131	5.384207774
132	5.367111304
133	5.361384535
134	5.354052173
135	5.335897711
136	5.332007315
137	5.313041167
138	5.30978346
139	5.299219397
140	5.281573255
141	5.272155144
142	5.258271285
143	5.256237068
144	5.244167695
145	5.23764015
146	5.230521103
147	5.228469914
148	5.223156289
149	5.214808748
150	5.210225631
151	5.205197672
152	5.197274758
153	5.18477457
154	5.179269574
155	5.165503482
156	5.148540984
157	5.143772339
158	5.132819303
159	5.124510165
160	5.115989415
161	5.1041446
162	5.096435187
163	5.082056148
164	5.076237471
165	5.064989424
166	5.060107319
167	5.052338526
168	5.045337342
169	5.028994739
170	5.018032848
171	5.01109781
172	4.996613362
173	4.991298029
174	4.986737923
175	4.978688765
176	4.972647635
177	4.966880102
178	4.952626653
179	4.943542625
180	4.938172195
181	4.93212018
182	4.925872234
183	4.914417676
184	4.901523076
185	4.894137149
186	4.885623562
187	4.880983746
188	4.874807567
189	4.8679865
190	4.855567088
191	4.849795863
192	4.842864871
193	4.834819382
194	4.825304649
195	4.816366582
196	4.807046724
197	4.802909383
198	4.787862609
199	4.77535936
200	4.76410364
201	4.758364651
202	4.751439881
203	4.74728061
204	4.739531732
205	4.730331839
206	4.722913837
207	4.716417397
208	4.712346344
209	4.707217948
210	4.700287714
211	4.695640733
212	4.687893679
213	4.683472986
214	4.671949883
215	4.659130944
216	4.653529482
217	4.648131055
218	4.643839571
219	4.632337757
220	4.627277768
221	4.616394603
222	4.609636897
223	4.602905944
224	4.598838112
225	4.587709787
226	4.582958347
227	4.579136333
228	4.567394841
229	4.563564259
230	4.557216068
231	4.551435299
232	4.544826317
233	4.533110177
234	4.526643477
235	4.522430621
236	4.516506165
237	4.512571018
238	4.506804215
239	4.497244846
240	4.484875752
241	4.481092063
242	4.477564154
243	4.47214057
244	4.46255063
245	4.45120958
246	4.447915771
247	4.438352066
248	4.429216917
249	4.419084444
250	4.415614659
251	4.410788141
252	4.401994361
253	4.399165141
254	4.393255421
255	4.389354962
256	4.386123152
257	4.377760826
258	4.372680178
259	4.368248837
260	4.357685119
261	4.347428022
262	4.342689221
263	4.333041718
264	4.330072628
265	4.319365742
266	4.316567992
267	4.308126268
268	4.303705872
269	4.299226264
270	4.290806612
271	4.281726017
272	4.277868364
273	4.270911921
274	4.265547636
275	4.262690402
276	4.25837636
277	4.251994239
278	4.244254628
279	4.236560828
280	4.230570176
281	4.220660034
282	4.217965481
283	4.210224047
284	4.203652581
285	4.196582496
286	4.187193399
287	4.179211842
288	4.170717755
289	4.162926917
290	4.155161733
291	4.147741883
292	4.144762138
