iter	Passed	Remaining
0	2	2992
1	5	2662
2	8	2674
3	10	2606
4	13	2646
5	15	2597
6	17	2545
7	21	2723
8	24	2730
9	27	2756
10	39	3572
11	44	3632
12	46	3539
13	50	3523
14	51	3373
15	54	3376
16	59	3427
17	61	3372
18	64	3309
19	66	3252
20	68	3215
21	73	3257
22	99	4206
23	101	4117
24	103	4032
25	106	4001
26	109	3930
27	111	3860
28	112	3776
29	116	3765
30	152	4758
31	155	4699
32	159	4679
33	161	4600
34	164	4529
35	166	4461
36	169	4411
37	171	4345
38	174	4297
39	176	4237
40	178	4180
41	180	4126
42	183	4093
43	192	4175
44	194	4124
45	196	4077
46	199	4046
47	202	4021
48	206	4016
49	209	3977
50	212	3946
51	215	3924
52	217	3889
53	221	3875
54	223	3840
55	253	4268
56	263	4360
57	265	4319
58	269	4295
59	273	4282
60	275	4243
61	278	4215
62	280	4178
63	283	4139
64	285	4102
65	287	4069
66	290	4040
67	294	4040
68	297	4014
69	299	3982
70	301	3951
71	304	3922
72	307	3899
73	310	3879
74	312	3850
75	313	3814
76	316	3793
77	318	3766
78	320	3740
79	323	3715
80	328	3724
81	330	3699
82	331	3667
83	335	3653
84	337	3630
85	339	3607
86	343	3604
87	345	3583
88	348	3562
89	350	3541
90	352	3524
91	354	3498
92	357	3484
93	361	3479
94	363	3462
95	365	3444
96	368	3425
97	371	3416
98	373	3398
99	375	3381
100	378	3365
101	380	3352
102	383	3340
103	387	3340
104	390	3332
105	395	3333
106	399	3332
107	403	3330
108	405	3315
109	406	3288
110	408	3273
111	410	3257
112	413	3242
113	416	3235
114	421	3245
115	425	3241
116	427	3229
117	462	3458
118	466	3453
119	468	3439
120	471	3426
121	474	3416
122	476	3400
123	480	3394
124	484	3390
125	487	3378
126	489	3366
127	493	3364
128	497	3361
129	501	3354
130	503	3339
131	505	3324
132	507	3310
133	511	3305
134	513	3290
135	515	3276
136	518	3264
137	520	3250
138	522	3236
139	526	3232
140	528	3220
141	539	3262
142	542	3252
143	545	3242
144	548	3233
145	551	3223
146	553	3211
147	555	3198
148	557	3186
149	560	3173
150	562	3161
151	564	3151
152	567	3142
153	574	3154
154	576	3142
155	578	3130
156	585	3144
157	591	3151
158	596	3153
159	598	3143
160	601	3134
161	605	3131
162	607	3121
163	610	3114
164	616	3118
165	618	3109
166	622	3105
167	624	3094
168	627	3083
169	629	3075
170	633	3072
171	636	3064
172	640	3060
173	642	3049
174	644	3039
175	646	3028
176	650	3025
177	658	3038
178	660	3028
179	662	3019
180	665	3013
